Question,Answer,Name
"accipiō, accipere, accēpī, acceptum","to take, receive, accept","accipiō, accipere"
"pōnō, pōnere, posuī, positum","to put, place, set","pōnō, pōnere"
"iubeō, iubēre, iussī, iussum","bid, order, command","iubeō, iubēre"
"petō, petere, petīvī, petītum","seek, aim at, beg, beseech","petō, petere"
"dūcō, dūcere, dūxī, ductum","to lead; consider, regard; prolong","dūcō, dūcere"
"legō, legere, lēgī, lēctum","pickout, choose; read","legō, legere"
"crēdō, crēdere, crēdidī, crēditum","believe, trust","crēdō, crēdere"
"mittō, mittere, mīsī, missum","send, let go","mittō, mittere"
"sciō, scīre, scīvī, scītum","to know","sciō, scīre"
"vincō, vincere, vīcī, victum","to conquer, overcome","vincō, vincere"
"vivō, vivere, vīxī, vīctum","to conquer, overcome","vincō, vincere"
"vocō, vocāre, vocāvī, vocātum ","to call, summon","vocō, vocāre"
