Question,Answer,Name
"dēlectō, dēlectāre, dēlectāvī, dēlectātum","to delight, charm, please","dēcltō, dēcltāre, dēcltāvī, dēcltātum"
"cantō, cantāre, cantāvī, cantātum","to sing","cantō, cantāre, cantāvī, cantātum"
"relevō, relevāre, relevāvī, relevātum","to relieve, alleviate, diminish","relevō, relevāre, relevāvī, relevātum"
"intellegō, intellegere, intellēxī, intellēctum","to understand","intellegō, intellegere, intellēxī, intellēctum"
"sentiō, sentīre, sēnsī, sēnsum","to feel, perceive, think, experience","sentiō, sentīre, sēnsī, sēnsum"
"āmittō, āmittere, āmīsī, āmissum","to send away; lose, let go","āmittō, āmittere, āmīsī, āmissum"
"prōfundō, prōfundere, prōfūndī, profūsum","to pour forth","prōfundō, prōfundere, prōfūndī, profūsum"
"alō, alere, aluī, altum","to nourish, support, sustain, increase; cherish","alō, alere, aluī, altum"
"dīligō, dīligere, dīlēxī, dīlēctum","to esteem, love","dīligō, dīligere, dīlēxī, dīlēctum"
"iungō, iungere, iūnxī, iūnctum","to join","iungō, iungere, iūnxī, iūnctum"
"stō, stāre, stetī, statum","to stand, stand still or firm","stō, stāre, stetī, statum"
"contendō, contendere, contendī, contentum","strive, struggle, contend, hasten","contendō, contendere, contendī, contentum"
