Question,Answer,Name
"admittō, admittere, admīsī, admissum","to admit, receive, let in","admittō, admittere, admīsī, admissum"
"coepī, coepisse, coeptum","began (perf. ystem only)","coepī, coepisse, coeptum"
"cupiō, cupere, cupīvī, cupītum","to desire, wish, long for","cupiō, cupere, cupīvī, cupītum"
"nāvigō, nāvigāre, nāvigāvī, nāvigātum","to sail, navigate","nāvigō, nāvigāre, nāvigāvī, nāvigātum"
"neglegō, neglegere, neglēxī, neglēctum","to neglect, disregard","neglegō, neglegere, neglēxī, neglēctum"
"recitō, recitāre, recitāvī, recitātum","to read aloud, recite","recitō, recitāre, recitāvī, recitātum"
"immineō, imminēre","to impend, threaten","immineō, imminēre"
"reposcō, reposcere","to demand back","reposcō, reposcere"
"fluō, fluere, flūxī, flūxum","to flow","fluō, fluere, flūxī, flūxum"
"misceō, miscēre, miscuīm, mixtum","to mix, stir up, disturb","misceō, miscēre, miscuīm, mixtum"
"videor, vidērī, vīsus sum","pass. of videō, to be seen, seem, appear","videor, vidērī, vīsus sum"
"līberō, līberāre, līberāvī, līberātum","to free, liberate","līberō, līberāre, līberāvī, līberātum"
