Question,Answer,Name
"scrībō, scrībere, scrīpsī, scrīptum","write, compose","scrībō, scrībere"
"moveō, movēre, mōvī, mōtum","to move; arouse, affect","moveō, movēre"
"doceō, docēre, docuī, doctum","to teach","doceō, docēre"
"inveniō, invenīre, invēnī, inventum","to come upon, find","inveniō, invenīre"
"onerō, onerāre, onerāvī, onerātus","to load, oppress","onerō, onerāre"
"dēbeō, dēbēre, debuī, debitum","to owe, ought, must, should","dēbeō, dēbēre"
"valeō, valēre, valuī, valitūrum","to be strong, have power, be well",valēre
"putō, putāre, putāvī, putātum","reckon, suppose, judge, think, imagine","putō, putāre"
"redeō, redīre, rediī, reditum","go back, return","redeō, redīre"
"fugiō, fugere, fūgī, fugitūrum, ","to flee, hurry away; escape; go into exile; avoid, shun","fugiō, fugere"
"relinquō, relinquere, relīquī, relictum","leave behind, leave, abandon","relinquō, relinquere"
"respondeō, respondēre, respondī, respōnsum","to respond, reply, answer","respondeō, respondēre"
