Question,Answer,Name
"admoneō, admonēre, admonuī, admonitum","to admonish, remind, prompt","admoneō, admonēre"
"audeō, audēre, ausus sum","to dare","audeō, audēre"
"auscultō, auscultāre, auscultāvī, auscultātum","to listen, hear","auscultō, auscultāre"
"cēnō, cēnāre, cēnāvī, cēnātum","to dine","cēnō, cēnāre"
"iubeō, iubēre, iussī, iussum","to order","iubeō, iubēre"
"iuvō, iuvāre, iuvāvī, iuvātum","to help, aid, assist; please","iuvō, iuvāre"
"maneō, manēre, mānsī, mānsum","to remain, stay, stay behind, abide, continue","manēre or remanēre"
"necō, necāre, necāvī, necātum","to murder, kill",necāre
"peccō, peccāre, peccāvī, peccātum","to sin","peccō, peccā"
"possum, posse, potuī","to be able, can, could, have power","possum, posse"
"recūsō, recūsāre, recūsāvī, recūsātum","to refuse, reject","recūsō, recūsāre"
"sum, esse, fuī, futūrum","to be, exist","sum, esse"
