Question,Answer,Name
"perītus, perīta, perītum","skillful","perītus, perīta, perītum"
"asper, aspera, asperum","rough, harsh","asper, aspera, asperum"
"Pūnicus, Pūnica, Pūnic","Punic, Cathaginian","Pūnicus, Pūnica, Pūnic"
"varius, varia, varium","varied","varius, varia, varium"
"īnfīrmus, īnfīrma, īnfīrmum","not strong, weak","īnfīrmus, īnfīrma, īnfīrmum"
"dūrus, dūram dūrum","hard, harsh","dūrus, dūram dūrum"
"indignus, indigna, indignum","unworthy","indignus, indigna, indignum"
"praeclārus, praeclāra, praeclārum","noble, remarkable","praeclārus, praeclāra, praeclārum"
"Trōiānus, Trōiāna, Trōiānum","Trojan","Trōiānus, Trōiāna, Trōiānum"
"acerbus, acerba, acerbum","harsh, bitter, grievous","acerbus, acerba, acerbum"
"summus, summa, summum","extreme","summus, summa, summum"
"doctus, docta, doctum","taught, learned, skilled","doctus, docta, doctum"
