Question,Answer,Name
"novus, nova, novum","new; strange","novus, nova, novum"
"certus, a, um","definite, sure, certain, reliable","certus, a, um"
"medius, a, um","middle","medius, a, um"
"publicus, a, um","of the people, public","publicus, a, um"
"adversus, adversa, adversum","adverse, evil, hostile","adversus, adversa, adversum"
"antīquus, antīqua, antīquum","ancient, old time","antīquus, antīqua, antīquum"
"avārus, avāra, avārum","greedy, avaricious","avārus, avāra, avārum"
"hūmānus, hūmāna, hūmānum","pertaining to man, human; humane, kind; refined, cultivated","hūmānus, hūmāna, hūmānum"
"immodicus, immodica, immodicum","immoderate, excessive","immodicus, immodica, immodicum"
"īnfīnītus, īnfīnīta, īnfīnītum","infinite, boundless, unlimited, endless","īnfīnītus, īnfīnīta, īnfīnītum"
"infortūnātus, infortūnāta, infortūnātum","unfortunate","infortūnātus, infortūnāta, infortūnātum"
"līber, lībera, līberum","free","līber, lībera, līberum"
