Question,Answer,Name
"fortūnātus, fortūnāta, fortūnātum","lucky, fortunate, happy","fortūnātus, fortūnāta, fortūnātum"
"ignārus, ignāra, ignārum","ignorant","ignārus, ignāra, ignārum"
"miser, misera, miserum","wretched, miserable, unfortunate","miser, misera, miserum"
"caecus, caeca, caecum","blind","caecus, caeca, caecum"
"clārus,clāra,clārum","clear, bright; renowned, famous, illustrious","clārus,clāra,clārum"
"mortālis, mortāle","mortal","mortālis, mortāle"
"certus, certa, certum","definite, sure, certain, reliable","certus, certa, certum"
"gravis, grave","heavy, weighty; serious, important; severe grievous","gravis, grave"
"immortālis, immortāle","not subject to death, immortal","immortālis, immortāle"
"asper, aspera, asperae","rough, harsh","asper, aspera, asperae"
"commūnis, commūne","common, general, of/for the community","commūnis, commūne"
"dexter, dextra, dextrum","right, right-handed","dexter, dextra, dextrum"
