Question,Answer,Name
"multus, multa, multum","much, many","multus, multa, multum"
"magnus, magna, magnum","large, great, important","magnus, magna, magnum"
"tantus, tanta, tantum","so large, so great, of such size","tantus, tanta, tantum"
"nūllus, nūlla, nūllum","no","nūllus, nūlla, nūllum"
"malus, mala, malum","bad, wicked, evil","malus, mala, malum"
"longus, longa, longum","long","longus, longa, longum"
"quantus, quanta, quantum","how large, how great, how much","quantus, quanta, quantum"
"meus, mea, meum","my","meus, mea, meum"
"noster, nostra, nostrum","our, ours","noster, nostra, nostrum"
"tuus, tua, tuum","your (sg.)","tuus, tua, tuum"
"vester, vestra, vestrum","your (pl.)","vester, vestra, vestrum"
"suus, sua, suum","his own, her own, its own, their own","suus, sua, suum"
