Question,Answer,Name
"Graecus, Graeca, Graecum","1st/2nd Greek","Graecus, Graeca, Graecum"
"Rōmānus, Rōmāna, Rōmānum","1st/2nd Roman","Rōmānus, Rōmāna, Rōmānum"
"saevus, saeva, saevum","1st/2nd cruel","saevus, saeva, saevum"
"salvus, salva, salvum","1st/2nd safe, sound","salvus, salva, salvum"
"sānus, sāna, sānum","1st/2nd sound, healthy, sane","sānus, sāna, sānum"
"secundus, secunda, secundum","1st/2nd second, favorable","secundus, secunda, secundum"
"rēctus, rēcta, rēctum","1st/2nd right","rēctus, rēcta, rēctum"
"eximius, eximia, eximium","1st/2nd extraordinary","eximius, eximia, eximium"
"amīcus, amīca, amiīcum","friendly","amīcus, amīca, amiīcum"
"cārus, cāra, cārum","dear","cārus, cāra, cārum"
