Question,Answer,Name
"Trōia, Trōiae","f. 1st Troy","Trōia, Trōiae"
"vīcīnus, vīcīnī","m. 2nd neighbor","vīcīnus, vīcīnī"
"vīcīna, vīcīnae","f. 1st neighbor","vīcīna, vīcīnae"
"vulgus, vulgī","n. 2nd the common people, mob, rabble","vulgus, vulgī"
"cornū, cornūs","n. 4th horn","cornū, cornūs"
"frūctus, frūctūs","m. 4th fruit; profit, benefit, enjoyment","frūctus, frūctūs"
"genū, genūs","n. 4th knee","genū, genūs"
"manus, manūs","f. 4th hand; handwriting; band","manus, manūs"
"metus, metūs","m. 4th fear, dread, anxiety","metus, metūs"
"mōns, montis","m. 3rd mountain","mōns, montis"
"senātus, senātūs","m. 4th senator","senātus, senātūs"
"sēnsus, sēnsūs","m. 4th feeling, sense","sēnsus, sēnsūs"
"servitūs, servitūtis","f. 3rd servitude, slavery","servitūs, servitūtis"
"spīritus, spīritūs","m. 4th breath, breathing; spirit, soul","spīritus, spīritūs"
"versus, versūs","m. 4th line of verse","versus, versūs"
"diēs, diēī","m. 5th day","diēs, diēī"
"ferrum, ferrī","n. 2nd iron; sword","ferrum, ferrī"
"fidēs, fideī","f. 5th faith, trust, trustworthiness, fidelity; promise, gauraentee, protection","fidēs, fideī"
"ignis, ignis","m. 3rd fire","ignis, ignis"
"modus, modī","m. 2nd measure, bound, limit; manner, method, mode, way","modus, modī"
"rēs, reī","f. 5th thing, matter, property, businessm affair","rēs, reī"
"rēs pūblica, reī pūblicae","f. 1st state, commonwealth, republic","rēs pūblica, reī pūblicae"
"spēs, speī","f. 5th hope","spēs, speī"
"Stōicus, Stōicī","m. 2nd a Stoic philosopher","Stōicus, Stōicī"
